"the_geom","SYSTEMSTOP","STREET","CROSS_ST","DIR","POS","ROUTESSTPG","OWLROUTES","CITY","PUBLIC_NAM"
"POINT (-87.74750923800002 41.956892084)","15,189","CICERO","BERTEAU (north leg)","SB","FS","54,54A",,"CHICAGO","Cicero & Berteau"
"POINT (-87.64178572600002 41.67799153599998)","14,545","HALSTED","119TH STREET","NB","FS","8A,108",,"CHICAGO","Halsted & 119th Street"
"POINT (-87.70896851700002 42.012049691000016)","15,046","KEDZIE","TOUHY","NB","FS","11",,"CHICAGO","Kedzie & Touhy"
"POINT (-87.66891603599998 41.954186386)","6,280","ASHLAND","IRVING PARK","NB","NS","9,X9",,"CHICAGO","Ashland & Irving Park"
"POINT (-87.67517869800002 41.83201446999999)","4,484","ARCHER","DAMEN","SWB","NS","62","N62","CHICAGO","Archer & Damen"
"POINT (-87.70398 41.805777001000024)","3,082","KEDZIE","48TH PLACE (north leg)","SB","NS","47,52",,"CHICAGO","Kedzie & 48th Place"
"POINT (-87.70402509799999 41.811615116999974)","3,120","KEDZIE","45TH STREET","NB","NS","52",,"CHICAGO","Kedzie & 45th Street"
"POINT (-87.64047498399998 41.943529618000014)","1,157","LAKE SHORE","ROSCOE","NB","NT","135,146,151",,"CHICAGO","Lake Shore & Roscoe"
"POINT (-87.697276639 41.92268777300001)","3,192","CALIFORNIA","MILWAUKEE","NB","NS","94",,"CHICAGO","California & Milwaukee"
"POINT (-87.673530873 41.76834419800002)","8,720","DAMEN","69TH STREET","NB","NS","48",,"CHICAGO","Damen & 69th Street"
"POINT (-87.706360673 41.89213207099999)","14,601","KEDZIE","OHIO","NB","FS","52",,"CHICAGO","Kedzie & Ohio"
"POINT (-87.693710737 41.793567438000025)","4,157","CALIFORNIA","55TH STREET","NB","NS","94",,"CHICAGO","California & 55th Street"
"POINT (-87.68514590199999 41.83039914)","8,264","WESTERN","35TH STREET","SB","NS","49,X49","N49","CHICAGO","Western & 35th Street"
"POINT (-87.64437800000002 41.88693999999998)","5,505","DESPLAINES","FULTON","SB","NS","56",,"CHICAGO","Desplaines & Fulton"
"POINT (-87.668361011 41.979682035999986)","14,787","CLARK","BALMORAL","SB","FS","22","N22","CHICAGO","Clark & Balmoral"
"POINT (-87.58529500100002 41.722579000999986)","7,211","STONY ISLAND","95TH STREET","SB","NS","N5,28,95","N5","CHICAGO","Stony Island & 95th Street"
"POINT (-87.650887501 41.72094149999998)","6,569","VINCENNES","95TH STREET","SB","FS","112",,"CHICAGO","Vincennes & 95th Street"
"POINT (-87.643193 41.71606800000001)","3,701","HALSTED","98TH STREET","SB","NS","8A,108",,"CHICAGO","Halsted & 98th Street"
"POINT (-87.71132927500003 41.890294830000016)","11,167","HOMAN","FRANKLIN(n.service drive)","SB","NS","82",,"CHICAGO","Homan & Franklin"
"POINT (-87.743173716 41.80223378400001)","8,123","CICERO","50TH STREET","SB","NS","47,54B",,"CHICAGO","Cicero & 50th Street"
"POINT (-87.63504513100003 41.85265119799999)","4,454","ARCHER","CERMAK/PRINCETON","NEB","NS","62",,"CHICAGO","Archer & Cermak/Princeton"
"POINT (-87.62551300000001 41.78389500100002)","2,427","STATE","61ST STREET (north leg)","SB","NT","29",,"CHICAGO","State & 61st Street"
"POINT (-87.66608024499999 41.96174417999998)","1,814","CLARK","MONTROSE","SB","NS","22,78","N22","CHICAGO","Clark & Montrose"
"POINT (-87.60976788099998 41.866173704000005)","17,234","SOLIDARITY DR","LYNN WHITE DRIVE","EB","FS","130,146",,"CHICAGO","Solidarity Dr & Lynn White Drive"
"POINT (-87.74439834100002 41.86582566300001)","17,441","ROOSEVELT","CICERO","EB","FS","12",,"CICERO","Roosevelt & Cicero"
"POINT (-87.64051631900003 41.70688442699998)","12,159","103RD STREET","UNION","EB","NS","103",,"CHICAGO","103rd Street & Union"
"POINT (-87.616663894 41.72174716400002)","2,818","95TH STREET","FOREST","EB","NS","N5,95,111,115","N5","CHICAGO","95th Street & Forest"
"POINT (-87.57133435700001 41.75886117800002)","10,956","75TH STREET","PAXTON","EB","NS","N5,75","N5","CHICAGO","75th Street & Paxton"
"POINT (-87.811735999 41.937928)","9,234","BELMONT","OKETO","EB","NS","77",,"CHICAGO","Belmont & Oketo"
"POINT (-87.59747700100002 41.816976001)","7,989","OAKENWALD","43RD STREET","NB","FS","43",,"CHICAGO","Oakenwald & 43rd Street"
"POINT (-87.70166917900002 41.71890996000002)","9,981","KEDZIE","96TH STREET","NB","MT","52A",,"EVERGREEN PARK","Kedzie & 96th Street"
"POINT (-87.625451999 41.78903500000001)","2,305","STATE","58TH STREET","NB","NS","29",,"CHICAGO","State & 58th Street"
"POINT (-87.766860001 41.95124400100002)","11,619","CENTRAL","BYRON","NB","NS","85",,"CHICAGO","Central & Byron"
"POINT (-87.57521499900002 41.71887800000002)","5,282","JEFFERY","97TH STREET","NB","MT","15",,"CHICAGO","Jeffery & 97th Street"
"POINT (-87.63562556900001 41.921923413)","1,143","STOCKTON","WEBSTER","NB","NT","151,156",,"CHICAGO","Stockton & Webster"
"POINT (-87.805116209 41.896187843999996)","15,703","HARLEM","SCHNEIDER","NB","NS","90",,"OAK PARK","Harlem & Schneider"
"POINT (-87.63167700000002 41.836478)","6,501","WENTWORTH","3200 SOUTH","SB","MB","24,31",,"CHICAGO","3200 S Wentworth"
