"Geography Type","Year","Geography","Population - Total","Population - Age 0-17","Population - Age 18-29","Population - Age 30-39","Population - Age 40-49","Population - Age 50-59","Population - Age 60-69","Population - Age 70-79","Population - Age 80+","Population - Age 0-4","Population - Age 5-11","Population - Age 12-17","Population - Age 5+","Population - Age 18+","Population - Age 65+","Population - Female","Population - Male","Population - Latinx","Population - Asian Non-Latinx","Population - Black Non-Latinx","Population - White Non-Latinx","Population - Other Race Non-Latinx","Record ID"
"Citywide","2018","Chicago","2,705,988","548,999","552,935","456,321","336,457","312,965","262,991","155,334","79,986","168,114","204,152","175,475","2,537,874","2,156,989","349,712","1,386,113","1,319,875","776,661","179,841","784,266","899,980","119,467","Citywide-Chicago-2018"
"ZIP Code","2018","60601","14,675","820","4,606","2,792","2,190","1,333","1,340","1,272","322","550",,,"14,125","13,855","2,075","7,484","7,191","1,274",,,"9,677",,"ZIP_Code-60601-2018"
"ZIP Code","2018","60602","1,244","149","435","462","135","53","10","0","0","61",,,"1,183","1,095","5","551","693","81",,,"788",,"ZIP_Code-60602-2018"
"ZIP Code","2018","60603","1,174","56","561","101","97","197","97","65","0","13",,,"1,161","1,118","112","601","573","115",,,"707",,"ZIP_Code-60603-2018"
"ZIP Code","2018","60604","782","38","303","104","51","101","130","50","5","12",,,"770","744","93","413","369","34",,,"479",,"ZIP_Code-60604-2018"
"ZIP Code","2018","60605","27,519","2,260","8,103","6,316","3,567","3,344","2,455","1,204","270","837",,,"26,682","25,259","2,569","14,381","13,138","1,608",,,"15,781",,"ZIP_Code-60605-2018"
"ZIP Code","2018","60606","3,101","101","750","861","465","321","514","89","0","57",,,"3,044","3,000","431","1,599","1,502","195",,,"2,129",,"ZIP_Code-60606-2018"
"ZIP Code","2018","60607","29,591","3,350","11,384","7,522","3,048","1,981","1,321","632","353","1,660",,,"27,931","26,241","1,604","14,867","14,724","2,457",,,"15,440",,"ZIP_Code-60607-2018"
"ZIP Code","2018","60608","79,205","14,910","20,255","14,382","10,013","8,234","6,440","3,119","1,852","4,186",,,"75,019","64,295","7,852","35,360","43,845","40,146",,,"15,148",,"ZIP_Code-60608-2018"
"ZIP Code","2018","60609","61,495","16,600","12,450","8,451","7,324","7,061","5,176","3,378","1,055","4,820",,,"56,675","44,895","6,977","31,225","30,270","32,860",,,"9,172",,"ZIP_Code-60609-2018"
"ZIP Code","2018","60610","39,019","3,565","11,398","8,786","3,667","3,369","4,242","2,939","1,053","1,845",,,"37,174","35,454","6,029","21,145","17,874","2,601",,,"26,809",,"ZIP_Code-60610-2018"
"ZIP Code","2018","60611","32,426","1,638","7,544","7,215","2,478","3,937","4,785","3,267","1,562","892",,,"31,534","30,788","7,079","17,219","15,207","1,701",,,"23,167",,"ZIP_Code-60611-2018"
"ZIP Code","2018","60612","34,311","8,160","7,877","5,806","4,012","3,889","2,746","1,209","612","2,385",,,"31,926","26,151","3,136","17,631","16,680","4,206",,,"7,334",,"ZIP_Code-60612-2018"
"ZIP Code","2018","60613","50,113","5,793","14,643","12,674","5,748","4,958","3,187","1,880","1,230","2,555",,,"47,558","44,320","4,429","24,908","25,205","5,662",,,"36,600",,"ZIP_Code-60613-2018"
"ZIP Code","2018","60614","71,308","9,924","24,906","14,595","7,345","5,770","4,930","2,536","1,302","3,908",,,"67,400","61,384","6,179","35,363","35,945","4,317",,,"56,762",,"ZIP_Code-60614-2018"
"ZIP Code","2018","60615","41,563","6,673","11,046","6,725","4,549","4,288","4,323","2,506","1,453","2,006",,,"39,557","34,890","6,022","22,423","19,140","2,573",,,"10,984",,"ZIP_Code-60615-2018"
"ZIP Code","2018","60616","54,464","8,215","11,692","9,486","6,755","6,620","6,221","3,303","2,172","2,457",,,"52,007","46,249","8,683","28,657","25,807","4,600",,,"13,160",,"ZIP_Code-60616-2018"
"ZIP Code","2018","60617","82,534","21,337","14,040","8,927","10,660","10,625","7,611","5,733","3,601","5,105",,,"77,429","61,197","12,791","44,374","38,160","31,079",,,"5,215",,"ZIP_Code-60617-2018"
"ZIP Code","2018","60618","94,395","20,478","16,967","19,950","14,365","10,161","6,948","3,432","2,094","6,916",,,"87,479","73,917","8,526","46,244","48,151","38,152",,,"45,553",,"ZIP_Code-60618-2018"
"ZIP Code","2018","60619","61,258","13,004","9,237","7,612","6,708","9,315","8,378","3,953","3,051","3,911",,,"57,347","48,254","10,410","33,577","27,681","869",,,"854",,"ZIP_Code-60619-2018"
"ZIP Code","2018","60620","68,096","14,684","11,375","7,287","8,437","10,136","7,482","5,062","3,633","3,563",,,"64,533","53,412","11,842","38,095","30,001","911",,,"755",,"ZIP_Code-60620-2018"
"ZIP Code","2018","60621","29,042","7,810","5,183","3,250","2,926","4,073","2,897","1,739","1,164","2,504",,,"26,538","21,232","3,928","15,858","13,184","1,061",,,"320",,"ZIP_Code-60621-2018"
"ZIP Code","2018","60622","52,793","8,055","14,666","15,452","6,263","3,783","2,594","1,125","855","3,540",,,"49,253","44,738","3,119","25,577","27,216","11,579",,,"34,144",,"ZIP_Code-60622-2018"
"ZIP Code","2018","60623","85,979","26,387","15,945","12,798","10,170","9,008","6,621","3,450","1,600","6,801",,,"79,178","59,592","7,805","44,032","41,947","56,864",,,"2,508",,"ZIP_Code-60623-2018"
"ZIP Code","2018","60624","36,158","11,024","6,743","4,302","4,411","4,232","2,806","1,616","1,024","3,276",,,"32,882","25,134","3,922","19,252","16,906","1,915",,,"989",,"ZIP_Code-60624-2018"
"ZIP Code","2018","60625","79,243","15,820","15,783","16,649","11,120","8,508","6,399","2,813","2,151","5,981",,,"73,262","63,423","7,575","39,551","39,692","25,978",,,"36,086",,"ZIP_Code-60625-2018"
"ZIP Code","2018","60626","49,730","8,302","12,049","9,619","6,518","5,764","4,040","2,143","1,295","2,553",,,"47,177","41,428","5,031","25,148","24,582","10,252",,,"22,444",,"ZIP_Code-60626-2018"
"ZIP Code","2018","60628","66,724","15,513","11,827","7,029","8,502","8,953","7,216","4,984","2,700","4,153",,,"62,571","51,211","11,272","35,908","30,816","2,292",,,"1,281",,"ZIP_Code-60628-2018"
"ZIP Code","2018","60629","111,850","32,380","21,377","16,517","14,408","11,184","8,590","5,356","2,038","8,884",,,"102,966","79,470","11,127","57,035","54,815","79,432",,,"9,203",,"ZIP_Code-60629-2018"
"ZIP Code","2018","60630","57,344","11,913","7,773","8,847","7,381","8,978","6,351","3,422","2,679","3,527",,,"53,817","45,431","8,738","29,455","27,889","16,007",,,"32,184",,"ZIP_Code-60630-2018"
"ZIP Code","2018","60631","29,529","5,985","3,662","3,896","4,358","4,127","3,549","1,897","2,055","1,875",,,"27,654","23,544","5,469","15,265","14,264","3,152",,,"24,253",,"ZIP_Code-60631-2018"
"ZIP Code","2018","60632","91,039","26,881","17,407","13,371","11,676","9,069","6,795","4,009","1,831","7,048",,,"83,991","64,158","8,702","44,667","46,372","76,434",,,"7,996",,"ZIP_Code-60632-2018"
"ZIP Code","2018","60633","12,871","2,827","2,173","1,766","1,515","2,173","1,227","765","425","890",,,"11,981","10,044","1,676","6,085","6,786","5,790",,,"4,048",,"ZIP_Code-60633-2018"
"ZIP Code","2018","60634","75,995","16,581","11,044","11,242","10,440","10,766","8,425","4,638","2,859","5,026",,,"70,969","59,414","11,417","39,061","36,934","29,065",,,"41,060",,"ZIP_Code-60634-2018"
"ZIP Code","2018","60636","32,203","7,442","5,062","3,611","3,903","4,461","3,132","3,321","1,271","1,964",,,"30,239","24,761","6,194","16,978","15,225","2,472",,,"338",,"ZIP_Code-60636-2018"
"ZIP Code","2018","60637","47,454","11,552","11,606","5,984","4,834","5,367","4,549","2,253","1,309","3,182",,,"44,272","35,902","5,463","26,577","20,877","1,341",,,"6,858",,"ZIP_Code-60637-2018"
"ZIP Code","2018","60638","58,797","14,300","8,208","9,003","7,394","8,132","6,179","3,337","2,244","4,023",,,"54,774","44,497","8,239","29,764","29,033","30,440",,,"25,612",,"ZIP_Code-60638-2018"
"ZIP Code","2018","60639","90,517","24,573","16,203","13,873","12,852","10,387","7,660","3,539","1,430","6,633",,,"83,884","65,944","8,137","45,508","45,009","70,538",,,"6,104",,"ZIP_Code-60639-2018"
"ZIP Code","2018","60640","69,715","9,545","14,152","14,142","10,576","8,963","5,970","3,574","2,793","3,256",,,"66,459","60,170","8,987","34,101","35,614","9,939",,,"38,554",,"ZIP_Code-60640-2018"
"ZIP Code","2018","60641","71,023","15,849","11,820","12,054","9,928","9,061","7,206","3,177","1,928","4,627",,,"66,396","55,174","7,905","36,182","34,841","38,350",,,"26,008",,"ZIP_Code-60641-2018"
"ZIP Code","2018","60642","20,201","2,331","6,707","5,581","2,200","1,416","1,110","585","271","999",,,"19,202","17,870","1,322","10,092","10,109","4,074",,,"12,126",,"ZIP_Code-60642-2018"
"ZIP Code","2018","60643","49,870","11,082","6,126","5,627","6,451","8,105","5,905","3,706","2,868","3,134",,,"46,736","38,788","9,153","27,232","22,638","1,649",,,"10,138",,"ZIP_Code-60643-2018"
"ZIP Code","2018","60644","47,712","12,336","9,394","5,857","5,261","6,048","4,851","2,517","1,448","3,623",,,"44,089","35,376","6,201","25,669","22,043","3,068",,,"1,392",,"ZIP_Code-60644-2018"
"ZIP Code","2018","60645","47,732","12,906","7,091","6,952","5,824","5,468","5,064","2,621","1,806","4,329",,,"43,403","34,826","6,564","23,992","23,740","8,127",,,"21,481",,"ZIP_Code-60645-2018"
"ZIP Code","2018","60646","27,987","6,000","3,377","3,458","3,787","4,086","3,238","2,108","1,933","1,802",,,"26,185","21,987","5,732","14,765","13,222","3,971",,,"20,315",,"ZIP_Code-60646-2018"
"ZIP Code","2018","60647","87,509","16,298","22,356","20,993","11,055","7,700","5,309","2,695","1,103","5,924",,,"81,585","71,211","6,224","43,182","44,327","39,226",,,"38,809",,"ZIP_Code-60647-2018"
"ZIP Code","2018","60649","46,024","10,493","7,505","6,417","5,950","5,706","5,593","2,807","1,553","3,215",,,"42,809","35,531","6,570","26,852","19,172","1,183",,,"1,315",,"ZIP_Code-60649-2018"
"ZIP Code","2018","60651","63,218","17,329","11,457","8,910","7,649","7,391","5,787","3,359","1,336","4,780",,,"58,438","45,889","7,220","34,084","29,134","26,860",,,"2,623",,"ZIP_Code-60651-2018"
"ZIP Code","2018","60652","43,907","11,679","7,185","5,764","6,105","6,065","4,062","1,897","1,150","2,769",,,"41,138","32,228","4,740","23,123","20,784","17,479",,,"4,472",,"ZIP_Code-60652-2018"
"ZIP Code","2018","60653","31,972","8,912","4,760","4,635","4,404","3,369","3,233","1,547","1,112","2,632",,,"29,340","23,060","4,122","18,269","13,703","689",,,"1,374",,"ZIP_Code-60653-2018"
